Month ,Facility Type,ICE Daily Population
October ,Total ,45584
October ,FRC,2082
October ,Adult,43502
November ,Total ,46202
November ,FRC,1563
November ,Adult,44639
December ,Total ,48783
December,FRC,1978
December,Adult,46805
Janurary ,Total ,46947
Janurary ,FRC,1339
Janurary ,Adult,45608
February ,Total ,48593
February ,FRC,2240
February ,Adult,46353
March ,Total ,48958
March ,FRC,1665
March ,Adult,47293
April ,Total ,49173
April ,FRC,910
April ,Adult,48263
May ,Total ,51823
May ,FRC,1012
May ,Adult,50810
June,Total ,54220
June,FRC,447
June,Adult,53733
July ,Total ,54220
July ,FRC,447
July ,Adult,53733
August,Total ,55238
August,FRC,928
August ,Adult,54310
September ,Total ,52091
September ,FRC,487
September ,Adult,51604